Данные по клиентам за 2018 года


Клиент:Кол-во:Цена:Дата
Абоимова Е.И.:4:1,180:09/14/2018
Нагиева В.Д.:16:1,374:04/20/2018
Нагиева Э.М.:20:1,010:07/01/2018
Наливкин Э.А.:9:619:05/23/2018
Невьянцев В.З.:1:1,229:09/13/2018
Ненашев П.Ф.:8:1,485:11/04/2018
Никаев Д.Г.:15:1,174:10/05/2018
Николаева Н.Ф.:6:648:05/04/2018
Николенко А.И.:17:1,339:09/25/2018
Няшин Н.С.:2:1,366:05/22/2018
Оспищева Е.Ф.:11:608:07/26/2018
Остапчук А.Ч.:10:759:09/26/2018
Панкин С.О.:19:1,122:05/09/2018
Панюшкин К.И.:11:622:12/25/2018
Пашина Ж.Р.:10:1,136:12/07/2018
Переверзев М.В.:1:1,164:11/15/2018
Пермяков Ю.З.:2:597:11/13/2018
Пичугина А.М.:14:1,469:12/26/2018
Пишенина Р.Р.:1:692:01/22/2018
Погребняка Д.Г.:12:730:04/26/2018
Подкользин А.Ф.:22:1,319:03/06/2018
Подшивалов Р.Л.:18:650:03/03/2018
Поздов К.П.:6:1,342:07/27/2018
Полищука Р.С.:25:950:05/30/2018
Пономарева Р.Д.:24:1,196:01/21/2018
Попова Е.С.:5:582:04/21/2018
Прибылов К.Д.:10:949:02/04/2018
Протасов П.К.:7:1,339:04/12/2018
Пустоходова Р.М.:20:1,048:12/21/2018
Путин В.Л.:21:739:06/26/2018
Разина А.С.:8:990:07/08/2018
Рамазан И.И.:3:959:06/26/2018
Расторгуев К.Ю.:11:537:07/04/2018
Романенко М.К.:25:759:01/19/2018
Рыченков А.Ф.:1:1,318:05/14/2018
Рязанцева Л.В.:16:756:01/08/2018
Ряполов Г.И.:12:905:06/12/2018
Сабитов И.М.:9:873:05/29/2018
Садыков Ф.С.:8:945:04/08/2018
Сайбаталов Т.К.:11:565:11/30/2018
Сальков Д.И.:10:514:11/12/2018
Сапожникова А.И.:15:1,309:06/02/2018
Свечин С.О.:13:815:09/25/2018
Семенов А.Б.:15:1,479:12/25/2018
Сергеева Д.Ф.:25:1,081:10/24/2018
Сизова Г.М.:20:1,016:12/08/2018
Симакин П.И.:2:850:08/29/2018
Слукина Р.Е.:23:1,190:08/21/2018
Смелоч Н.В.:1:562:07/16/2018
Солодский Г.С.:12:1,234:07/10/2018
Суворов И.Н.:8:659:12/21/2018
Суриков Я.Ф.:14:1,145:02/04/2018
Суружу С.И.:2:1,331:08/21/2018
Сутулина А.О.:24:1,165:07/29/2018
Сыромятников Э.Е.:8:643:12/05/2018
Тимофеева А.П.:7:613:11/23/2018
Толбоев Я.С.:5:574:09/04/2018
Толбоева Н.Р.:10:1,019:11/03/2018
Трифонов Л.Д.:2:661:01/10/2018
Трофимов В.П.:10:1,155:05/25/2018
Трындин З.С.:17:610:05/16/2018
Тукаева У.И.:18:622:09/15/2018
Уланов Д.В.:9:1,164:11/02/2018
Усилов Я.Г.:21:1,300:05/05/2018
Федоренко Д.В.:18:562:06/12/2018
Фёдоров В.Б.:3:1,230:05/14/2018
Финагин П.А.:17:808:03/10/2018
Фонвизина Б.С.:8:1,142:09/08/2018
Форофонтов К.С.:1:633:04/12/2018
Фотеев Е.Ф.:7:1,141:01/17/2018
Халски Г.Е.:15:753:08/21/2018
Халтурин Р.Е.:3:1,422:08/29/2018
Харзин К.Л.:15:501:09/26/2018
Харитонюк А.З.:19:1,010:02/25/2018
Хахалин Г.М.:24:1,304:08/22/2018
Хоботилов В.К.:12:735:06/08/2018
Хомичев С.А.:20:710:11/07/2018
Царско Г.И.:12:982:04/27/2018
Целобанова И.Б.:18:552:10/26/2018
Целобанова С.Е.:25:1,435:03/05/2018
Цорна К.Р.:1:941:10/02/2018
Чечуров К.Д.:12:855:11/23/2018
Чичканов М.О.:21:1,321:10/19/2018
Чмыхов М.М.:3:933:08/19/2018
Чуринов П.К.:3:1,009:12/28/2018
Чучумашев М.С.:16:1,293:04/07/2018
Чучумашева М.П.:17:1,100:01/23/2018
Чюличкова Г.И.:5:1,038:07/08/2018
Шайн П.Г.:9:667:06/01/2018
Шатов Х.Е.:8:1,115:12/25/2018
Шведов Р.И.:7:1,399:05/24/2018
Швечиков С.Е.:5:1,096:08/23/2018
Шеляпин К.Е.:25:1,445:06/12/2018
Шереметьев А.Е.:16:1,418:07/16/2018
Шеркова Л.И.:25:1,045:09/21/2018
Шитов Т.С.:16:839:03/31/2018
Шкуратов А.П.:18:782:04/11/2018
Шувалов А.А.:9:1,435:11/30/2018
Шуйский К.В.:25:1,078:09/29/2018
Шуляк С.Т.:18:757:06/05/2018
Шурша А.Л.:11:1,487:11/03/2018
Шурьев Д.Ю.:17:827:05/28/2018
Щавельский М.И.:9:1,157:05/17/2018
Щеголяева С.Ю.:17:695:05/08/2018
Щенин Д.С.:10:1,158:03/06/2018
Щередин В.В.:5:721:02/09/2018
Эвентова Э.С.:11:1,064:09/18/2018
Экземплярский Т.З.:2:1,021:10/03/2018
Экономова Х.П.:22:1,172:09/24/2018
Элефтерова И.Е.:7:1,017:01/07/2018
Юбкин О.Е.:9:1,412:01/15/2018
Юрнаев Г.В.:6:638:03/28/2018
Юханцев Л.Л.:13:1,393:05/14/2018
Юшкова К.Ф.:19:653:10/07/2018
Ябров В.Т.:5:1,030:03/26/2018
Ягешева Р.Н.:5:1,450:07/15/2018
Ядучев А.Я.:19:557:09/29/2018
Языкина В.Т.:22:1,036:03/31/2018
Яйцев Т.С.:16:951:05/29/2018
Якубовский И.А.:18:852:10/08/2018
Якунин Э.Р.:2:1,459:04/04/2018
Ялбачев Л.Ф.:10:638:09/09/2018
Ямова С.И.:8:518:01/10/2018
Ямщиков В.П.:12:1,204:02/19/2018
Янишевский Э.С.:13:657:11/10/2018
Янукович Е.А.:13:823:02/20/2018
Ярмухаметов А.Ф.:9:1,426:02/26/2018
Ярный К.И.:23:1,389:03/16/2018
Яромеев К.С.:20:658:03/17/2018
Ярошевский В.Д.:3:1,445:07/22/2018
Ярыгина В.Г.:11:620:07/10/2018
Ясырев В.О.:7:1,279:07/08/2018
Ясюлевич Ф.Т.:12:506:11/04/2018
Ясюлевича И.М.:22:625:06/29/2018
Яфракова А.Д.:9:1,266:03/08/2018
Яхонтов А.Л.:14:868:06/07/2018
Яшунин В.К.:3:1,126:08/13/2018





Итого:3,853:299,379
